Column A: Area of Focus,Expectation,Column B: Weight,Column C: Glucose,Column D: Activity,Column E: Steps,Column F: Food,Column G: Sleep,Column H: Medications,Column I: Mental Well-being,Column J: Explore,Column K: Journey,Daily Message,Tester,Test Date,Clinical Coaching Appropriateness [LLM Judge],Clinical Coaching Appropriateness - Rationale [LLM Judge],Clinical Coaching Appropriateness,Clinical Coaching Appropriateness - Rationale,Tone & Approachability [LLM Judge],Tone & Approachability - Rationale [LLM Judge],Tone & Approachability,Tone & Approachability - Rationale,Reading Level [LLM Judge],Reading Level - Rationale [LLM Judge],Reading Level,Reading Level - Rationale,Neutrality [LLM Judge],Neutrality  - Rationale [LLM Judge],Neutrality ,Neutrality ,Message Completeness [LLM Judge],Message Completeness - Rationale [LLM Judge],Message Completeness,Message Completeness - Rationale,Message Length Appropriateness [LLM Judge],Message Length Appropriateness [LLM Judge],Message Length Appropriateness,Message Length Appropriateness - Rationale,Language Variety & Flow [LLM Judge],Language Variety & Flow - Rationale [LLM Judge],Language Variety & Flow,Language Variety & Flow - Rationale,Response Structure [LLM Judge],Response Structure - Rationale [LLM Judge],Response Structure,Response Structure - Rationale,Spelling & Punctuation [LLM Judge],Spelling & Punctuation - Rationale [LLM Judge],Spelling & Punctuation,Spelling & Punctuation - Rationale,Medical Terminology [LLM Judge],Medical Terminology - Rationale [LLM Judge],Medical Terminology,Medical Terminology - Rationale,Numerical Calculation Accuracy [LLM Judge],Numerical Calculation Accuracy - Rationale [LLM Judge],Numerical Calculation Accuracy ,Numerical Calculation Accuracy - Rationale
Medications focus (2),Only include items related to focus in message; set med reminders,Weight loss goal: logged & increased,DM (A1C <8): TIR <50% + No meals,Active program: uncompleted,Steps 6k-9.9k & decreased,Logged at least one meal,No sleep entries,Taken < 50% meds,No meditation 1 month,No content opened,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medications focus (3),Only include items related to focus in message,Weight maintenance: +/-3% goal,DM (A1C <8): TIR <50% + No meds,Logged active minutes,Logged >= 10000 steps,Reached 90-110% target,Slept >= 7 hours,Taken 50-99% meds,No Action Plan progress,Did not read article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medications focus (4),Only include items related to focus in message,No weight entry > 6 days,DIP: TIR <70% + No meals,Did not log active minutes,Logged more steps,Generated AI meal plan,Slept > prev day,Took all meds,No journal 1 month,Did not watch video,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medications focus (5),Only include items related to focus in message; set med reminders,No goal: logged & decreased,DIP: TIR <70%,Logged active min >= prev day,"Avg steps < 6,000",Logged food prev day,Slept >= 7h & Rating >= 7,Taken < 50% meds,Took no actions,No curriculum lesson,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & decreased,Non-DM: TIR <90% + No meals,Completed 90% video,Steps 6k-9.9k & decreased,No log yesterday/month,Slept >= 7h & Rating > prev,Taken 50-99% meds,Opened a meditation,Read an article,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: >3% goal,Non-DM: TIR <90%,Started exercise program,Logged >= 10000 steps,Did not log yesterday (month ok),Avg duration >= 7h & Rating >= 7,Took all meds,Made a journal entry,Watched Learn video,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",No weight entry > 6 days,DM (A1C <7): High >25%,Total activity < 150 min,Logged more steps,Logged at least one meal,Avg duration < 7h,Taken < 50% meds,Progress on Action Plan,Completed lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & increased,DM (A1C <8): High >50%,Met 150 min goal in last month but not last week,"Avg steps < 6,000",Reached 90-110% target,Avg duration >= 7h; Rating < 7,Taken 50-99% meds,No meditation 1 month,No content opened,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & increased,DIP: High >25%,Active program: uncompleted,Steps 6k-9.9k & decreased,Generated AI meal plan,No sleep entries,Took all meds,No Action Plan progress,Did not read article,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No CGM (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: +/-3% goal,No CGM,Logged active minutes,Logged >= 10000 steps,Logged food prev day,Slept >= 7 hours,Taken < 50% meds,No journal 1 month,Did not watch video,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No CGM (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,No CGM,Did not log active minutes,Logged more steps,No log yesterday/month,Slept > prev day,Taken 50-99% meds,Took no actions,No curriculum lesson,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No CGM (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & increased,No CGM,Logged active min >= prev day,"Avg steps < 6,000",Did not log yesterday (month ok),Slept >= 7h & Rating >= 7,Took all meds,Opened a meditation,Read an article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No CGM (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: >3% goal,No CGM,Completed 90% video,Steps 6k-9.9k & decreased,Logged at least one meal,Slept >= 7h & Rating > prev,Taken < 50% meds,Made a journal entry,Watched Learn video,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No CGM (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",No weight entry > 6 days,No CGM,Started exercise program,Logged >= 10000 steps,Reached 90-110% target,Avg duration >= 7h & Rating >= 7,Taken 50-99% meds,Progress on Action Plan,Completed lesson,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step tracker (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & increased,DM (A1C <7): TIR >= 70%,Total activity < 150 min,Logged more steps,Generated AI meal plan,Avg duration < 7h,Took all meds,No meditation 1 month,No content opened,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step tracker (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & decreased,DM (A1C <8): TIR >= 50%,Met 150 min goal in last month but not last week,"Avg steps < 6,000",Logged food prev day,Avg duration >= 7h; Rating < 7,Taken < 50% meds,No Action Plan progress,Did not read article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step tracker (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: +/-3% goal,DIP User: TIR >= 70%,Active program: uncompleted,Steps 6k-9.9k & decreased,No log yesterday/month,No sleep entries,Taken 50-99% meds,No journal 1 month,Did not watch video,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step tracker (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,Non-DM User: TIR >= 90%,Logged active minutes,Logged >= 10000 steps,Did not log yesterday (month ok),Slept >= 7 hours,Took all meds,Took no actions,No curriculum lesson,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step tracker (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",No weight entry > 6 days,TIR improved from prev day,Did not log active minutes,Logged more steps,Logged at least one meal,Slept > prev day,Taken < 50% meds,Opened a meditation,Read an article,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No step tracker (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & increased,DM (A1C <7): TIR <70% + No meals,Logged active min >= prev day,No step data,Reached 90-110% target,Slept >= 7h & Rating >= 7,Taken 50-99% meds,Made a journal entry,Watched Learn video,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No step tracker (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: >3% goal,DM (A1C <7): TIR <70% + No meds,Completed 90% video,No step data,Generated AI meal plan,Slept >= 7h & Rating > prev,Took all meds,Progress on Action Plan,Completed lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No step tracker (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",No weight entry > 6 days,DM User (A1C <7): TIR < 70%,Started exercise program,No step data,Logged food prev day,Avg duration >= 7h & Rating >= 7,Taken < 50% meds,No meditation 1 month,No content opened,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No step tracker (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & increased,DM (A1C <8): TIR <50% + No meals,Total activity < 150 min,No step data,No log yesterday/month,Avg duration < 7h,Taken 50-99% meds,No Action Plan progress,Did not read article,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No step tracker (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & decreased,DM (A1C <8): TIR <50% + No meds,Met 150 min goal,"Avg steps < 6,000",Did not log yesterday (month ok),Avg duration >= 7h; Rating < 7,Took all meds,No journal 1 month,Did not watch video,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + step tracker (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: +/-3% goal,DIP: TIR <70% + No meals,Active program: uncompleted,Steps 6k-9.9k & decreased,Logged at least one meal,No sleep entries,Taken < 50% meds,Took no actions,No curriculum lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + step tracker (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,DIP: TIR <70%,Logged active minutes,Logged >= 10000 steps,Reached 90-110% target,Slept >= 7 hours,Taken 50-99% meds,Opened a meditation,Read an article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + step tracker (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & increased,Non-DM: TIR <90% + No meals,Did not log active minutes,Logged more steps,Generated AI meal plan,Slept > prev day,Took all meds,Made a journal entry,Watched Learn video,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + step tracker (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: >3% goal,Non-DM: TIR <90%,Logged active min >= prev day,"Avg steps < 6,000",Logged food prev day,Slept >= 7h & Rating >= 7,Taken < 50% meds,Progress on Action Plan,Completed lesson,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + step tracker (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",No weight entry > 6 days,DM (A1C <7): High >25%,Completed 90% video,Steps 6k-9.9k & decreased,No log yesterday/month,Slept >= 7h & Rating > prev,Taken 50-99% meds,No meditation 1 month,No content opened,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + no step tracker (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & increased,DM (A1C <8): High >50%,Started exercise program,No step data,Did not log yesterday (month ok),Avg duration >= 7h & Rating >= 7,Took all meds,No Action Plan progress,Did not read article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + no step tracker (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & decreased,DIP: High >25%,Total activity < 150 min,No step data,Logged at least one meal,Avg duration < 7h,Taken < 50% meds,No journal 1 month,Did not watch video,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + no step tracker (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: +/-3% goal,Non-DM: Above Target >5%,Met 150 min goal in last month but not last week,No step data,Reached 90-110% target,Avg duration >= 7h; Rating < 7,Taken 50-99% meds,Took no actions,No curriculum lesson,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + no step tracker (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,DM (A1C <7): Low/V-Low >4%,Active program: uncompleted,No step data,Generated AI meal plan,No sleep entries,Took all meds,Opened a meditation,Read an article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + no step tracker (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & increased,DM (A1C <8): Low/V-Low >1%,Logged active minutes,No step data,Logged food prev day,Slept >= 7 hours,Taken < 50% meds,Made a journal entry,Watched Learn video,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step tracker + no CGM (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: >3% goal,No CGM,Did not log active minutes,Logged more steps,No log yesterday/month,Slept > prev day,Taken 50-99% meds,Progress on Action Plan,Completed lesson,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step tracker + no CGM (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",No weight entry > 6 days,No CGM,Logged active min >= prev day,"Avg steps < 6,000",Did not log yesterday (month ok),Slept >= 7h & Rating >= 7,Took all meds,No meditation 1 month,No content opened,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step tracker + no CGM (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & increased,No CGM,Completed 90% video,Steps 6k-9.9k & decreased,Logged at least one meal,Slept >= 7h & Rating > prev,Taken < 50% meds,No Action Plan progress,Did not read article,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step tracker + no CGM (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & decreased,No CGM,Started exercise program,Logged >= 10000 steps,Reached 90-110% target,Avg duration >= 7h & Rating >= 7,Taken 50-99% meds,No journal 1 month,Did not watch video,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step tracker + no CGM (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: +/-3% goal,No CGM,Total activity < 150 min,Logged more steps,Generated AI meal plan,Avg duration < 7h,Took all meds,Took no actions,No curriculum lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
